Ubl Bdl Dbl	[D2: [U r2 U', l]]
Ubl Bdl Dbr	[D': [U r2 U', l]]
Ubl Bdl Dfl	[D: [U r2 U', l]]
Ubl Bdl Dfr	[U r2 U', l]
Ubl Bdl Fdl	[x' D2: [l', U r2 U']]
Ubl Bdl Fdr	[F': [U r U', l]]
Ubl Bdl Flu	[F: [U r U', l]]
Ubl Bdl Fru	[U r U', l]
Ubl Bdl Lbd	[z u: [r U r', u]]
Ubl Bdl Lbu	[z: [u', l U2 l']]
Ubl Bdl Ldf	[y': [d, r U' r']]
Ubl Bdl Lfu	[z: [u', l U l']]
Ubl Bdl Rbd	[Rw': [Uw r Uw', l]]
Ubl Bdl Rbu	[Uw r Uw', l]
Ubl Bdl Rdf	[R2: [Uw r Uw', l]]
Ubl Bdl Rfu	[Rw: [Uw r Uw', l]]
Ubl Bdl Ubr	[Rw': [U r U', l]]
Ubl Bdl Ufl	[y': [r' d r, U']]
Ubl Bdl Ufr	[r' d2 r, U2]
Ubl Bdr Dbl	[D: [l2, U r' U']]
Ubl Bdr Dbr	[D2: [l2, U r' U']]
Ubl Bdr Dfl	[l2, U r' U']
Ubl Bdr Dfr	[D': [l2, U r' U']]
Ubl Bdr Fdl	[r' U r, d2]
Ubl Bdr Fdr	[x' D': [U' l' U, r2]]
Ubl Bdr Flu	[l', U r' U']
Ubl Bdr Fru	[x': [U' l' U, r2]]
Ubl Bdr Lbd	[r' U r, d']
Ubl Bdr Lbu	[U: [Uw' l' Uw, r']]
Ubl Bdr Ldf	[Rw' U: [U, r' d r]]
Ubl Bdr Lfu	[Rw': [U, r' u' r]]
Ubl Bdr Rbd	[Rw': [U, r' u r]]
Ubl Bdr Rbu	[r': [U, r' u r]]
Ubl Bdr Rdf	[r' U r, d]
Ubl Bdr Rfu	[Uw: [U' l' U, r']]
Ubl Bdr Ubr	[Lw: [r', U' l' U]]
Ubl Bdr Ufl	[U x': [r, U' l' U]]
Ubl Bdr Ufr	[Lw U': [r', U' l' U]]
Ubl Blu Dbl	[D' U': [U' r2 U, l]]
Ubl Blu Dbr	[U': [U' r2 U, l]]
Ubl Blu Dfl	[D Rw: [u2, r U r']]
